,State Code,District Code,Sub District Code,Category,Name,Residence,Inhabited Villages,Uninhabited Villages,Towns,Households,Population (Person),Population (Male),Population (Female),Area,Population Density
11264,22,404,0,DISTRICT,Korba ,Urban,0,0,7,99855,446290,231491,214799,276.5,1614.0687160940327
11265,22,404,3272,SUB-DISTRICT,Katghora,Total,107,3,4,68557,304058,156211,147847,570.92,532.5754921880474
11266,22,404,3272,SUB-DISTRICT,Katghora,Rural,107,3,0,23398,99506,49974,49532,459.12999999999994,216.72728856750814
11267,22,404,3272,SUB-DISTRICT,Katghora,Urban,0,0,4,45159,204552,106237,98315,111.79,1829.787995348421
11268,22,404,3273,SUB-DISTRICT,Poundi-Uproda,Total,209,3,0,44125,188783,95083,93700,2075.32,90.96573058612647
11269,22,404,3273,SUB-DISTRICT,Poundi-Uproda,Rural,209,3,0,44125,188783,95083,93700,2075.32,90.96573058612647
11270,22,404,3273,SUB-DISTRICT,Poundi-Uproda,Urban,0,0,0,0,0,0,0,0.0,0.0
11271,22,404,3274,SUB-DISTRICT,Pali,Total,141,0,1,45518,198746,100092,98654,1293.7024586367374,153.62574189542178
11272,22,404,3274,SUB-DISTRICT,Pali,Rural,141,0,0,44324,193232,97335,95897,1291.0624586367373,149.66897899272675
11273,22,404,3274,SUB-DISTRICT,Pali,Urban,0,0,1,1194,5514,2757,2757,2.64,2088.6363636363635
11274,22,404,3275,SUB-DISTRICT,Korba,Total,129,5,2,86261,369257,188711,180546,1996.4307986552014,184.95857720123934
