,District Code,Age Group,Total Persons
1045,313,All ages,1066888
1046,313,0-4,92766
1047,313,5-9,106240
1048,313,10-14,117308
1049,313,15-19,108123
1050,313,20-24,102501
1051,313,25-29,102215
1052,313,30-34,84554
1053,313,35-39,82109
1054,313,40-44,64562
1055,313,45-49,57860
1056,313,50-54,42803
1057,313,55-59,31598
1058,313,60-64,28645
1059,313,65-69,18970
1060,313,70-74,13082
1061,313,75-79,6119
1062,313,80+,7027
1063,313,Age not stated,406
1064,314,All ages,956313
1065,314,0-4,103728
1066,314,5-9,116868
1067,314,10-14,115294
1068,314,15-19,106030
1069,314,20-24,90423
1070,314,25-29,86290
1071,314,30-34,68647
1072,314,35-39,67751
1073,314,40-44,52650
1074,314,45-49,44691
1075,314,50-54,31412
1076,314,55-59,21758
1077,314,60-64,18776
1078,314,65-69,11781
1079,314,70-74,9176
1080,314,75-79,4284
1081,314,80+,5936
1082,314,Age not stated,818
1083,315,All ages,214102
1084,315,0-4,22653
1085,315,5-9,24127
1086,315,10-14,24937
1087,315,15-19,22807
1088,315,20-24,21102
1089,315,25-29,19837
1090,315,30-34,16057
1091,315,35-39,14723
1092,315,40-44,12363
1093,315,45-49,10556
1094,315,50-54,7937
1095,315,55-59,5601
1096,315,60-64,4391
1097,315,65-69,2622
1098,315,70-74,1904
1099,315,75-79,1135
1100,315,80+,1240
1101,315,Age not stated,110
1102,316,All ages,1736617
1103,316,0-4,179618
1104,316,5-9,190601
1105,316,10-14,188152
1106,316,15-19,176440
1107,316,20-24,163281
1108,316,25-29,150898
1109,316,30-34,126719
1110,316,35-39,125710
1111,316,40-44,103609
1112,316,45-49,88861
1113,316,50-54,69247
1114,316,55-59,50824
1115,316,60-64,45604
1116,316,65-69,29851
1117,316,70-74,22384
1118,316,75-79,10590
1119,316,80+,13276
1120,316,Age not stated,952
1121,317,All ages,1228686
1122,317,0-4,148573
1123,317,5-9,153648
1124,317,10-14,139930
1125,317,15-19,123965
1126,317,20-24,112858
1127,317,25-29,100876
1128,317,30-34,82193
1129,317,35-39,79954
1130,317,40-44,66822
1131,317,45-49,55399
1132,317,50-54,44851
