,State Code,Age Group,Total Persons
628,34,0-4,93949
629,34,5-9,98717
630,34,10-14,105726
631,34,15-19,102316
632,34,20-24,108819
633,34,25-29,118244
634,34,30-34,111070
635,34,35-39,107459
636,34,40-44,89779
637,34,45-49,79305
638,34,50-54,60923
639,34,55-59,50109
640,34,60-64,43828
641,34,65-69,27983
642,34,70-74,22521
643,34,75-79,12789
644,34,80+,13315
645,34,Age not stated,1101
646,35,All ages,380581
647,35,0-4,28754
648,35,5-9,30454
649,35,10-14,33467
650,35,15-19,33026
651,35,20-24,37115
652,35,25-29,41722
653,35,30-34,35723
654,35,35-39,32842
655,35,40-44,26735
656,35,45-49,23861
657,35,50-54,17296
658,35,55-59,13794
659,35,60-64,10376
660,35,65-69,6226
661,35,70-74,4098
662,35,75-79,2251
663,35,80+,2473
664,35,Age not stated,368
665,35,All ages,380581
666,35,0-4,28754
667,35,5-9,30454
668,35,10-14,33467
669,35,15-19,33026
670,35,20-24,37115
671,35,25-29,41722
672,35,30-34,35723
673,35,35-39,32842
674,35,40-44,26735
675,35,45-49,23861
676,35,50-54,17296
677,35,55-59,13794
678,35,60-64,10376
679,35,65-69,6226
680,35,70-74,4098
681,35,75-79,2251
682,35,80+,2473
683,35,Age not stated,368
684,12,All ages,1383727
685,12,0-4,142879
686,12,5-9,171123
687,12,10-14,179359
688,12,15-19,155968
689,12,20-24,131696
690,12,25-29,123714
691,12,30-34,101171
692,12,35-39,94391
