,State Code,District Code,Name,Population (Person),Area,Population Density
11436,22,410,Raipur,4063872,12383.0,328.18153920697733
11484,22,411,Mahasamund,1032754,4790.0,215.6062630480167
11502,22,412,Dhamtari ,799781,4084.0,195.83276199804115
11517,22,413,Uttar Bastar Kanker,748941,7161.0,104.5860913280268
11541,22,414,Bastar,1413199,10470.0,134.9760267430755
11580,22,415,Narayanpur,139820,4653.0,30.049430474962392
11589,22,416,Dakshin Bastar Dantewada,533638,8298.0,64.30923114003375
11613,22,417,Bijapur,255230,8530.0,29.921453692848768
11628,23,0,MADHYA PRADESH,72626809,308252.0,235.60855728429985
11631,23,418,Sheopur ,687861,6606.0,104.1267029972752
11649,23,419,Morena,1965970,4989.0,394.0609340549208
11670,23,420,Bhind,1703005,4459.0,381.9253195783808
11697,23,421,Gwalior,2032036,4560.0,445.6219298245614
11712,23,422,Datia,786754,2902.0,271.1075120606478
11727,23,423,Shivpuri,1726050,10066.0,171.47327637591894
11754,23,424,Tikamgarh,1445166,5048.0,286.28486529318536
11784,23,425,Chhatarpur,1762375,8687.0,202.87498561068264
11820,23,426,Panna,1016520,7135.0,142.4695164681149
11847,23,427,Sagar,2378458,10252.0,231.99941474834182
11883,23,428,Damoh,1264219,7306.0,173.03846153846158
11907,23,429,Satna,2228935,7502.0,297.1121034390829
11940,23,430,Rewa,2365106,6314.0,374.58124802027237
11976,23,431,Umaria,644758,4076.0,158.1840039254171
11994,23,432,Neemuch ,826067,4256.0,194.09468984962402
12012,23,433,Mandsaur,1340411,5535.0,242.1700090334237
12039,23,434,Ratlam,1455069,4861.0,299.335321950216
12066,23,435,Ujjain,1986864,6091.0,326.19668363158763
12090,23,436,Shajapur,1512681,6195.0,244.17772397094433
12120,23,437,Dewas,1563715,7020.0,222.75142450142448
12147,23,438,Dhar,2185793,8153.0,268.0967741935484
12174,23,439,Indore,3276697,3898.0,840.6097998973833
12192,23,440,Khargone (West Nimar),1873046,8025.0,233.40137071651094
12222,23,441,Barwani ,1385881,5427.0,255.3677906762484
12252,23,442,Rajgarh,1545814,6153.0,251.2293190313668
12276,23,443,Vidisha,1458875,7371.0,197.92090625423958
12309,23,444,Bhopal,2371061,2772.0,855.3611111111112
12318,23,445,Sehore,1311332,6578.0,199.35117056856186
12345,23,446,Raisen,1331597,8466.0,157.28762107252535
12372,23,447,Betul,1575362,10043.0,156.86169471273524
12399,23,448,Harda ,570465,3334.0,171.10527894421116
12420,23,449,Hoshangabad,1241350,6703.0,185.19319707593613
12447,23,450,Katni ,1292042,4950.0,261.0185858585859
12471,23,451,Jabalpur,2463289,5211.0,472.70946075609294
12495,23,452,Narsimhapur,1091854,5133.0,212.7126436781609
12513,23,453,Dindori ,704524,7470.0,94.31378848728248
12522,23,454,Mandla,1054905,5800.0,181.8801724137931
12543,23,455,Chhindwara,2090922,11815.0,176.97181548878544
12582,23,456,Seoni,1379131,8758.0,157.47099794473624
12609,23,457,Balaghat,1701698,9229.0,184.3859573084841
12642,23,458,Guna,1241519,6390.0,194.29092331768388
12666,23,459,Ashoknagar,845071,4674.0,180.80252460419342
12684,23,460,Shahdol,1066063,6205.0,171.80709105560032
12699,23,461,Anuppur,749237,3747.0,199.95649853215903
12714,23,462,Sidhi,1127033,4851.0,232.33003504432082
12735,23,463,Singrauli,1178273,5675.0,207.62519823788543
